Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.8377,0.7881,0.1578,0.5966,0.2495,0.1916,0.2459,2.126
Gradient Boosting Classifier,0.8365,0.7854,0.1442,0.59,0.2316,0.1763,0.2323,25.026
Ada Boost Classifier,0.8348,0.7758,0.1409,0.571,0.2257,0.1695,0.2226,5.19
Random Forest Classifier,0.8365,0.7685,0.1616,0.5782,0.2525,0.1922,0.2422,2.904
Logistic Regression,0.836,0.7562,0.1406,0.5852,0.2266,0.1718,0.2276,0.918
Ridge Classifier,0.8346,0.755,0.0726,0.6478,0.1305,0.0994,0.1768,0.926
Linear Discriminant Analysis,0.8335,0.755,0.1985,0.5353,0.2896,0.2172,0.2518,0.954
Extra Trees Classifier,0.8345,0.7489,0.1601,0.5565,0.2487,0.1865,0.2329,1.858
Quadratic Discriminant Analysis,0.6489,0.7361,0.7138,0.2934,0.4127,0.2248,0.2707,0.964
Naive Bayes,0.7148,0.7146,0.5814,0.3182,0.411,0.2438,0.2632,1.868
SVM - Linear Kernel,0.829,0.7077,0.0,0.0,0.0,-0.0,-0.0008,1.018
K Neighbors Classifier,0.8145,0.6745,0.214,0.4174,0.2829,0.1889,0.2029,7.664
Decision Tree Classifier,0.7557,0.5829,0.3203,0.2997,0.3096,0.1614,0.1616,2.054
Dummy Classifier,0.829,0.5,0.0,0.0,0.0,0.0,0.0,0.94
