SoldFlag,stack_score,stack_label
,0.8237,0
,0.9659,0
,0.9733,0
,0.6724,0
,0.9736,0
,0.9735,0
,0.9431,0
,0.9549,0
,0.9519,0
,0.9542,0
,0.9563,0
,0.9108,0
,0.9307,0
,0.9297,0
,0.9731,0
,0.9364,0
,0.9347,0
,0.8909,0
,0.9541,0
,0.962,0
,0.9577,0
,0.9764,0
,0.917,0
,0.9562,0
,0.946,0
,0.9173,0
,0.8359,0
,0.924,0
,0.9,0
,0.9211,0
,0.8186,0
,0.8645,0
,0.9734,0
,0.9078,0
,0.7921,0
,0.9213,0
,0.7557,0
,0.8331,0
,0.9248,0
,0.8731,0
,0.945,0
,0.93,0
,0.9338,0
,0.7993,0
,0.9525,0
,0.8948,0
,0.8996,0
,0.9541,0
,0.9459,0
,0.8101,0
,0.9199,0
,0.8768,0
,0.9286,0
,0.9353,0
,0.9518,0
,0.9556,0
,0.9372,0
,0.9298,0
,0.8995,0
,0.9431,0
,0.9573,0
,0.9472,0
,0.9442,0
,0.9466,0
,0.9531,0
,0.9343,0
,0.9562,0
,0.9428,0
,0.9379,0
,0.9495,0
,0.9584,0
,0.9403,0
,0.9186,0
,0.9703,0
,0.913,0
,0.8484,0
,0.9365,0
,0.953,0
,0.9081,0
,0.9494,0
,0.9701,0
,0.9561,0
,0.9569,0
,0.9454,0
,0.9193,0
,0.9241,0
,0.9369,0
,0.9155,0
,0.947,0
,0.9348,0
,0.9232,0
,0.952,0
,0.88,0
,0.9324,0
,0.9517,0
,0.9716,0
,0.924,0
,0.9369,0
,0.9406,0
,0.9462,0
,0.9615,0
,0.9459,0
,0.951,0
,0.9241,0
,0.941,0
,0.9556,0
,0.9631,0
,0.9231,0
,0.9538,0
,0.9569,0
,0.9438,0
,0.8808,0
,0.9591,0
,0.9577,0
,0.9521,0
,0.9562,0
,0.9224,0
,0.9368,0
,0.8745,0
,0.9698,0
,0.8533,0
,0.9345,0
,0.9462,0
,0.914,0
,0.9525,0
,0.9464,0
,0.9414,0
,0.9701,0
,0.9195,0
,0.9172,0
,0.9596,0
,0.9262,0
,0.9614,0
,0.9607,0
,0.9261,0
,0.9007,0
,0.963,0
,0.9326,0
,0.9676,0
,0.9559,0
,0.9325,0
,0.9732,0
,0.9155,0
,0.9081,0
,0.9028,0
,0.9234,0
,0.928,0
,0.9493,0
,0.923,0
,0.9611,0
,0.9367,0
,0.9256,0
,0.9395,0
,0.9281,0
,0.9697,0
,0.9296,0
,0.9487,0
,0.9721,0
,0.9022,0
,0.9322,0
,0.9473,0
,0.9541,0
,0.8989,0
,0.9574,0
,0.963,0
,0.9542,0
,0.8951,0
,0.9691,0
,0.9363,0
,0.951,0
,0.9153,0
,0.9551,0
,0.7928,0
,0.9285,0
,0.9521,0
,0.9182,0
,0.8614,0
,0.9438,0
,0.8697,0
,0.8546,0
,0.8044,0
,0.9673,0
,0.5069,0
,0.5629,0
,0.9169,0
,0.9389,0
,0.8614,0
,0.7,0
,0.76,0
,0.8769,0
,0.7671,0
,0.9715,0
,0.951,0
,0.9189,0
,0.7262,0
,0.9501,0
,0.8653,0
,0.9022,0
,0.9331,0
,0.8308,0
,0.8805,0
,0.7948,0
,0.6428,0
,0.8243,0
,0.933,0
,0.8689,0
,0.9244,0
,0.9477,0
,0.9087,0
,0.9612,0
,0.9374,0
,0.8032,0
,0.9125,0
,0.9087,0
,0.719,0
,0.7874,0
,0.9561,0
,0.8812,0
,0.859,0
,0.8189,0
,0.8656,0
,0.8477,0
,0.8778,0
,0.9197,0
,0.7797,0
,0.8718,0
,0.9272,0
,0.9042,0
,0.8502,0
,0.9484,0
,0.8394,0
,0.9027,0
,0.7766,0
,0.9671,0
,0.8666,0
,0.7163,0
,0.9721,0
,0.825,0
,0.861,0
,0.9174,0
,0.8961,0
,0.9542,0
,0.7625,0
,0.7177,0
,0.8964,0
,0.8245,0
,0.9272,0
,0.8536,0
,0.5699,0
,0.897,0
,0.7754,0
,0.6061,0
,0.8083,0
,0.9309,0
,0.5307,0
,0.8747,0
,0.9635,0
,0.7555,0
,0.7485,0
,0.858,0
,0.5761,0
,0.9724,0
,0.9617,0
,0.9214,0
,0.724,0
,0.9411,0
,0.7465,0
,0.9595,0
,0.879,0
,0.8384,0
,0.8843,0
,0.9271,0
,0.8378,0
,0.7668,0
,0.8187,0
,0.5382,0
,0.7227,0
,0.7164,0
,0.8111,0
,0.8869,0
,0.9179,0
,0.8956,0
,0.7309,0
,0.8573,0
,0.6725,0
,0.8853,0
,0.9385,0
,0.9185,0
,0.8666,0
,0.9066,0
,0.831,0
,0.7677,0
,0.8365,0
,0.8069,0
,0.7875,0
,0.9776,0
,0.6788,0
,0.8854,0
,0.8541,0
,0.8353,0
,0.7746,0
,0.8955,0
,0.9386,0
,0.8659,0
,0.8762,0
,0.8049,0
,0.9102,0
,0.8457,0
,0.8894,0
,0.8757,0
,0.86,0
,0.8982,0
,0.9452,0
,0.8782,0
,0.8824,0
,0.9504,0
,0.9128,0
,0.8928,0
,0.7092,0
,0.9338,0
,0.9447,0
,0.9658,0
,0.9374,0
,0.7395,0
,0.8937,0
,0.8184,0
,0.8965,0
,0.8265,0
,0.8107,0
,0.9219,0
,0.9376,0
,0.7683,0
,0.9298,0
,0.5984,0
,0.946,0
,0.8839,0
,0.9647,0
,0.8082,0
,0.9134,0
,0.9294,0
,0.7632,0
,0.8059,0
,0.9651,0
,0.8599,0
,0.8609,0
,0.8522,0
,0.9211,0
,0.8285,0
,0.9248,0
,0.8647,0
,0.8719,0
,0.6689,0
,0.7755,0
,0.7376,0
,0.7965,0
,0.8805,0
,0.9014,0
,0.9475,0
,0.8211,0
,0.8721,0
,0.833,0
,0.8423,0
,0.9046,0
,0.7082,0
,0.9709,0
,0.8857,0
,0.8095,0
,0.9603,0
,0.9375,0
,0.9068,0
,0.9573,0
,0.8731,0
,0.8988,0
,0.7097,0
,0.9399,0
,0.909,0
,0.9646,0
,0.81,0
,0.9609,0
,0.7866,0
,0.8087,0
,0.9608,0
,0.7258,0
,0.9448,0
,0.8049,0
,0.8217,0
,0.8697,0
,0.7034,0
,0.9203,0
,0.9132,0
,0.9288,0
,0.8368,0
,0.924,0
,0.875,0
,0.9059,0
,0.8711,0
,0.4953,1
,0.9626,0
